No.,cpuname,Description:,Socket:,Clockspeed:,Turbo Speed:,Cores:,Threads:,Typical TDP:,Cache Size:,Memory Support:,Other names:,CPU First Seen on Charts:,CPUmark/$Price:,Overall Rank:,Last Price Change:,PassMark CPU Rating:,Single Thread Rating:,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread,single_thread,multi_thread,FLOPS,Class:,TDP Down:,TDP Up,Total Cores:,Primary Cores:,Secondary Cores:,Performance Cores:,Efficient Cores:
1477,Intel Core i5-3570T @ 2.30GHz,"Intel(R) Core(TM) i5-3570T CPU @ 2.30GHz, Intel Core i5-3570T CPU @ 2.30GHz",LGA1155,2.3 GHz,3.3 GHz,4,4,45 W,"L1: 256 KB, L2: 1.0 MB,",,"Intel(R) Core(TM) i5-3570T CPU @ 2.30GHz, Intel Core i5-3570T CPU @ 2.30GHz",Q3 2012,NA,1793,NA,4107,1754,"12,405 MOps/Sec","9,385 MOps/Sec",27 Million Primes/Sec,"8,093 Thousand Strings/Sec","1,048 MBytes/Sec","61,410 KBytes/Sec",396 Frames/Sec,"3,106 Million Matrices/Sec","1,754 MOps/Sec",1754.0,3106.0,9385.0,Desktop,,,,,,,
1533,AMD Athlon X3 445,AMD Athlon(tm) X3 445 Processor,AMD Athlon(tm) X3 445 Processor,3.1 GHz,,3,3,95 W,,,AMD Athlon(tm) X3 445 Processor,Q4 2011,NA,2891,NA,1626,1270,"5,002 MOps/Sec","3,754 MOps/Sec",7 Million Primes/Sec,"4,474 Thousand Strings/Sec",455.8 MBytes/Sec,"35,051 KBytes/Sec",106 Frames/Sec,764 Million Matrices/Sec,"1,270 MOps/Sec",1270.0,764.0,3754.0,AMD Athlon(tm) X3 445 Processor,,,,,,,
1480,Intel Core i7-3632QM @ 2.20GHz,"Intel(R) Core(TM) i7-3632QM CPU @ 2.20GHz, Intel Core i7-3632QM CPU @ 2.20GHz",rPGA988B,2.2 GHz,3.2 GHz,4,8,35 W,"L1: 256 KB, L2: 1.0 MB, L3: 6 MB",,"Intel(R) Core(TM) i7-3632QM CPU @ 2.20GHz, Intel Core i7-3632QM CPU @ 2.20GHz",Q3 2012,66.76,1663,From submitted results to PerformanceTest V10 as of 31st of October 2023.,4667,1579,"16,916 MOps/Sec","8,635 MOps/Sec",23 Million Primes/Sec,"10,396 Thousand Strings/Sec","1,313 MBytes/Sec","75,354 KBytes/Sec",408 Frames/Sec,"3,170 Million Matrices/Sec","1,579 MOps/Sec",1579.0,3170.0,8635.0,Laptop,,,,,,,
1472,Intel Core i3-3220 @ 3.30GHz,"Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz, Intel Core i3-3220 CPU @ 3.30GHz",LGA1155,3.3 GHz,,2,4,55 W,"L1: 256 KB, L2: 1.0 MB,",,"Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz, Intel Core i3-3220 CPU @ 3.30GHz",Q3 2012,91.95,2513,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2262,1732,"10,017 MOps/Sec","5,137 MOps/Sec",13 Million Primes/Sec,"6,292 Thousand Strings/Sec",400.7 MBytes/Sec,"45,940 KBytes/Sec",257 Frames/Sec,"1,953 Million Matrices/Sec","1,732 MOps/Sec",1732.0,1953.0,5137.0,Desktop,,,,,,,
1471,Intel Core i3-2328M @ 2.20GHz,"Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz, Intel Core i3-2328M CPU @ 2.20GHz",PGA988,2.2 GHz,,2,4,35 W,"L1: 256 KB, L2: 1.0 MB,",,"Intel(R) Core(TM) i3-2328M CPU @ 2.20GHz, Intel Core i3-2328M CPU @ 2.20GHz",Q3 2012,8.22,3184,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1234,983,"5,972 MOps/Sec","2,331 MOps/Sec",9 Million Primes/Sec,"3,853 Thousand Strings/Sec",212.1 MBytes/Sec,"25,914 KBytes/Sec",187 Frames/Sec,"1,073 Million Matrices/Sec",983 MOps/Sec,983.0,1073.0,2331.0,Laptop,,,,,,,
1447,AMD A4-5300 APU,AMD A4-5300 APU with Radeon(tm) HD Graphics,FM2,3.4 GHz,3.7 GHz,2 (in 2 physical modules),,65 W,"L1: 160 KB, L2: 2.0 MB,",,AMD A4-5300 APU with Radeon(tm) HD Graphics,Q4 2012,50.74,3082,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1367,1351,"8,821 MOps/Sec","2,450 MOps/Sec",5 Million Primes/Sec,"2,916 Thousand Strings/Sec",408.2 MBytes/Sec,"22,708 KBytes/Sec",135 Frames/Sec,557 Million Matrices/Sec,"1,351 MOps/Sec",1351.0,557.0,2450.0,Desktop,,,,,,,
1486,Intel Xeon E3-1265L V2 @ 2.50GHz,"Intel(R) Xeon(R) CPU E3-1265L V2 @ 2.50GHz, Intel Xeon CPU E3-1265L V2 @ 2.50GHz",LGA1155,2.5 GHz,3.5 GHz,4,8,45 W,"L1: 256 KB, L2: 1.0 MB,","Max. Memory Size: 77 GB (DDR3 1333/1600, ECC Supported)","Intel(R) Xeon(R) CPU E3-1265L V2 @ 2.50GHz, Intel Xeon CPU E3-1265L V2 @ 2.50GHz",Q3 2012,10.93,1606,From submitted results to PerformanceTest V10 as of 31st of October 2023.,5064,1649,"17,906 MOps/Sec","9,222 MOps/Sec",25 Million Primes/Sec,"11,418 Thousand Strings/Sec","1,471 MBytes/Sec","81,460 KBytes/Sec",407 Frames/Sec,"3,469 Million Matrices/Sec","1,649 MOps/Sec",1649.0,3469.0,9222.0,Server,,,,,,,
1484,Intel Pentium G870 @ 3.10GHz,Intel(R) Pentium(R) CPU G870 @ 3.10GHz,FCLGA1155,3.1 GHz,,2,2,65 W,"L1: 256 KB, L2: 1.0 MB, L3: 3 MB",,Intel(R) Pentium(R) CPU G870 @ 3.10GHz,Q3 2012,19.78,2975,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1523,1467,"6,507 MOps/Sec","3,296 MOps/Sec",12 Million Primes/Sec,"4,065 Thousand Strings/Sec",292.5 MBytes/Sec,"30,147 KBytes/Sec",193 Frames/Sec,942 Million Matrices/Sec,"1,467 MOps/Sec",1467.0,942.0,3296.0,Desktop,,,,,,,
1404,AMD Opteron 1354,Quad-Core AMD Opteron(tm) Processor 1354,AM2,2.2 GHz,,4,4,75 W,"L1: 512 KB, L2: 2.0 MB, L3: 2 MB",,Quad-Core AMD Opteron(tm) Processor 1354,Q1 2009,6.09,3022,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1449,864,"3,258 MOps/Sec","2,689 MOps/Sec",8 Million Primes/Sec,"3,111 Thousand Strings/Sec",355.1 MBytes/Sec,"25,496 KBytes/Sec",116 Frames/Sec,706 Million Matrices/Sec,864 MOps/Sec,864.0,706.0,2689.0,Server,,,,,,,
1494,AMD A6-5400K APU,AMD A6-5400K APU with Radeon(tm) HD Graphics,FM2,3.6 GHz,3.8 GHz,2 (in 1 physical modules),,65 W,"L1: 160 KB, L2: 2.0 MB,",,AMD A6-5400K APU with Radeon(tm) HD Graphics,Q4 2012,24.29,3157,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1264,1263,"8,363 MOps/Sec","2,288 MOps/Sec",5 Million Primes/Sec,"2,740 Thousand Strings/Sec",371.5 MBytes/Sec,"21,112 KBytes/Sec",125 Frames/Sec,512 Million Matrices/Sec,"1,263 MOps/Sec",1263.0,512.0,2288.0,Desktop,,,,,,,
1402,Intel Pentium T4500 @ 2.30GHz,"Pentium(R) Dual-Core CPU T4500 @ 2.30GHz, Intel(R) Pentium(R) CPU T4500 @ 2.30GHz",PGA478,2.3 GHz,,2,2,35 W,"L1: 128 KB, L2: 1.0 MB, L3: 0 MB",,"Pentium(R) Dual-Core CPU T4500 @ 2.30GHz, Intel(R) Pentium(R) CPU T4500 @ 2.30GHz",Q1 2010,27.41,3595,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",821,910,"3,732 MOps/Sec","2,046 MOps/Sec",3 Million Primes/Sec,"2,450 Thousand Strings/Sec",217.0 MBytes/Sec,"18,127 KBytes/Sec",78 Frames/Sec,306 Million Matrices/Sec,910 MOps/Sec,910.0,306.0,2046.0,Laptop,,,,,,,
1399,Intel Pentium T4200 @ 2.00GHz,Pentium(R) Dual-Core CPU T4200 @ 2.00GHz,PGA478,2.0 GHz,,2,2,35 W,"L1: 128 KB, L2: 1.0 MB, L3: 0 MB",,Pentium(R) Dual-Core CPU T4200 @ 2.00GHz,Q1 2009,7.25,3716,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",718,783,"3,083 MOps/Sec","1,839 MOps/Sec",3 Million Primes/Sec,"2,232 Thousand Strings/Sec",198.7 MBytes/Sec,"15,921 KBytes/Sec",76 Frames/Sec,256 Million Matrices/Sec,783 MOps/Sec,783.0,256.0,1839.0,Laptop,,,,,,,
1435,Intel Core i7-3517UE @ 1.70GHz,Intel(R) Core(TM) i7-3517UE CPU @ 1.70GHz,BGA1023,1.7 GHz,2.8 GHz,2,4,17 W,"L1: 256 KB, L2: 1.0 MB, L3: 4 MB",,Intel(R) Core(TM) i7-3517UE CPU @ 1.70GHz,Q2 2012,NA,2477,NA,2320,1366,"8,322 MOps/Sec","4,222 MOps/Sec",15 Million Primes/Sec,"5,137 Thousand Strings/Sec",700.0 MBytes/Sec,"38,622 KBytes/Sec",256 Frames/Sec,"1,624 Million Matrices/Sec","1,366 MOps/Sec",1366.0,1624.0,4222.0,Laptop,,,,,,,
1493,Intel Xeon X5492 @ 3.40GHz,Intel(R) Xeon(R) CPU X5492 @ 3.40GHz,LGA771,3.4 GHz,,4,4,150 W,"L1: 256 KB, L2: 12.0 MB, L3: 0 MB",,Intel(R) Xeon(R) CPU X5492 @ 3.40GHz,Q1 2008,2.09,2207,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2912,1464,"13,652 MOps/Sec","7,454 MOps/Sec",32 Million Primes/Sec,"8,386 Thousand Strings/Sec",767.0 MBytes/Sec,"62,644 KBytes/Sec",321 Frames/Sec,"1,188 Million Matrices/Sec","1,464 MOps/Sec",1464.0,1188.0,7454.0,Server,,,,,,,
1442,Intel Core i3-3120M @ 2.50GHz,"Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz, Intel Core i3-3120M CPU @ 2.50GHz",PGA988,2.5 GHz,,2,4,35 W,"L1: 256 KB, L2: 1.0 MB,",,"Intel(R) Core(TM) i3-3120M CPU @ 2.50GHz, Intel Core i3-3120M CPU @ 2.50GHz",Q1 2012,6.39,2857,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1683,1276,"7,364 MOps/Sec","3,771 MOps/Sec",12 Million Primes/Sec,"4,660 Thousand Strings/Sec",294.5 MBytes/Sec,"33,754 KBytes/Sec",220 Frames/Sec,"1,428 Million Matrices/Sec","1,276 MOps/Sec",1276.0,1428.0,3771.0,Laptop,,,,,,,
1466,Intel Atom Z2760 @ 1.80GHz,Intel(R) Atom(TM) CPU Z2760 @ 1.80GHz,FC-MB4760,1.8 GHz,,2,4,,"L1: 56 KB, L2: 0.5 MB, L3: 0 MB",,Intel(R) Atom(TM) CPU Z2760 @ 1.80GHz,Q3 2012,NA,4194,NA,298,206,469 MOps/Sec,553 MOps/Sec,1 Million Primes/Sec,"1,005 Thousand Strings/Sec",98.1 MBytes/Sec,"8,465 KBytes/Sec",43 Frames/Sec,58 Million Matrices/Sec,206 MOps/Sec,206.0,58.0,553.0,Laptop,,,,,,,
1519,AMD Athlon II X4 555,AMD Athlon(tm) II X4 555 Processor,AMD Athlon(tm) II X4 555 Processor,3.2 GHz,,4,4,,"L1: 512 KB, L2: 2.0 MB, L3: 6 MB",,AMD Athlon(tm) II X4 555 Processor,Q4 2010,NA,2401,NA,2439,1248,"7,582 MOps/Sec","5,611 MOps/Sec",14 Million Primes/Sec,"6,641 Thousand Strings/Sec",735.5 MBytes/Sec,"54,921 KBytes/Sec",191 Frames/Sec,"1,216 Million Matrices/Sec","1,248 MOps/Sec",1248.0,1216.0,5611.0,AMD Athlon(tm) II X4 555 Processor,,,,,,,
1453,AMD Athlon X3 455,AMD Athlon(tm) X3 455 Processor,AM2+/AM3,3.3 GHz,,3,3,95 W,"L1: 384 KB, L2: 1.5 MB,",,AMD Athlon(tm) X3 455 Processor,Q4 2012,NA,2796,NA,1783,1227,"6,125 MOps/Sec","4,559 MOps/Sec",7 Million Primes/Sec,"5,585 Thousand Strings/Sec",456.3 MBytes/Sec,"44,341 KBytes/Sec",129 Frames/Sec,986 Million Matrices/Sec,"1,227 MOps/Sec",1227.0,986.0,4559.0,AMD Athlon(tm) X3 455 Processor,,,,,,,
1450,AMD Athlon II X2 210e,AMD Athlon(tm) II X2 210e Processor,AM3,2.6 GHz,,2,2,45 W,"L1: 256 KB, L2: 1.0 MB,",,AMD Athlon(tm) II X2 210e Processor,Q4 2010,38.79,3307,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",1105,1105,"3,282 MOps/Sec","2,439 MOps/Sec",6 Million Primes/Sec,"3,146 Thousand Strings/Sec",245.1 MBytes/Sec,"23,965 KBytes/Sec",118 Frames/Sec,529 Million Matrices/Sec,"1,105 MOps/Sec",1105.0,529.0,2439.0,Desktop,,,,,,,
1355,Mobile AMD Sempron 3400+,Mobile AMD Sempron(tm) Processor 3400+,Socket S1 (S1g1),2.0 GHz,,1,1,25 W,"L1: 128 KB, L2: 0.3 MB,",,Mobile AMD Sempron(tm) Processor 3400+,Q1 2009,NA,4236,NA,269,489,767 MOps/Sec,625 MOps/Sec,1 Million Primes/Sec,682 Thousand Strings/Sec,78.1 MBytes/Sec,"5,333 KBytes/Sec",31 Frames/Sec,82 Million Matrices/Sec,489 MOps/Sec,489.0,82.0,625.0,Laptop,,,,,,,
1482,Intel Core i7-3940XM @ 3.00GHz,Intel(R) Core(TM) i7-3940XM CPU @ 3.00GHz,rPGA988B,3.0 GHz,3.9 GHz,4,8,55 W,"L1: 256 KB, L2: 1.0 MB, L3: 8 MB",,Intel(R) Core(TM) i7-3940XM CPU @ 3.00GHz,Q4 2012,16.91,1453,From submitted results to PerformanceTest V10 as of 31st of October 2023.,5819,1930,"20,778 MOps/Sec","10,668 MOps/Sec",30 Million Primes/Sec,"12,890 Thousand Strings/Sec","1,658 MBytes/Sec","93,987 KBytes/Sec",470 Frames/Sec,"3,875 Million Matrices/Sec","1,930 MOps/Sec",1930.0,3875.0,10668.0,Laptop,,,,,,,
1476,Intel Core i5-3350P @ 3.10GHz,"Intel(R) Core(TM) i5-3350P CPU @ 3.10GHz, Intel Core i5-3350P CPU @ 3.10GHz",LGA1155,3.1 GHz,3.3 GHz,4,4,69 W,"L1: 256 KB, L2: 1.0 MB,",,"Intel(R) Core(TM) i5-3350P CPU @ 3.10GHz, Intel Core i5-3350P CPU @ 3.10GHz",Q4 2012,18.98,1762,From submitted results to PerformanceTest V10 as of 31st of October 2023.,4237,1783,"13,643 MOps/Sec","9,913 MOps/Sec",27 Million Primes/Sec,"8,331 Thousand Strings/Sec","1,042 MBytes/Sec","67,017 KBytes/Sec",373 Frames/Sec,"3,228 Million Matrices/Sec","1,783 MOps/Sec",1783.0,3228.0,9913.0,Desktop,,,,,,,
1434,Intel Xeon E5-1607 @ 3.00GHz,Intel(R) Xeon(R) CPU E5-1607 0 @ 3.00GHz,LGA2011,3.0 GHz,,4,4,130 W,"L1: 512 KB, L2: 2.0 MB,",,Intel(R) Xeon(R) CPU E5-1607 0 @ 3.00GHz,Q3 2012,323.49,1899,From submitted results to PerformanceTest V10 as of 31st of October 2023.,3730,1437,"12,783 MOps/Sec","6,553 MOps/Sec",29 Million Primes/Sec,"8,104 Thousand Strings/Sec",927.0 MBytes/Sec,"58,994 KBytes/Sec",390 Frames/Sec,"2,821 Million Matrices/Sec","1,437 MOps/Sec",1437.0,2821.0,6553.0,Server,,,,,,,
1429,Intel Xeon E5-2609 @ 2.40GHz,"Intel(R) Xeon(R) CPU E5-2609 0 @ 2.40GHz, Intel Xeon CPU E5-2609 0 @ 2.40GHz",LGA2011,2.4 GHz,,4,4,80 W,"L1: 512 KB, L2: 2.0 MB,","Max. Memory Size: 384 GB (DDR3 800/1066, ECC Supported)","Intel(R) Xeon(R) CPU E5-2609 0 @ 2.40GHz, Intel Xeon CPU E5-2609 0 @ 2.40GHz",Q2 2012,96.36,2248,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2794,1101,"9,511 MOps/Sec","4,729 MOps/Sec",22 Million Primes/Sec,"6,270 Thousand Strings/Sec",676.2 MBytes/Sec,"43,155 KBytes/Sec",342 Frames/Sec,"2,158 Million Matrices/Sec","1,101 MOps/Sec",1101.0,2158.0,4729.0,Server,,,,,,,
1469,Intel Celeron 887 @ 1.50GHz,Intel(R) Celeron(R) CPU 887 @ 1.50GHz,BGA1023,1.5 GHz,,2,2,17 W,"L1: 256 KB, L2: 1.0 MB,",,Intel(R) Celeron(R) CPU 887 @ 1.50GHz,Q4 2012,NA,3671,NA,754,703,"3,112 MOps/Sec","1,648 MOps/Sec",7 Million Primes/Sec,"2,017 Thousand Strings/Sec",146.4 MBytes/Sec,"14,863 KBytes/Sec",113 Frames/Sec,474 Million Matrices/Sec,703 MOps/Sec,703.0,474.0,1648.0,Laptop,,,,,,,
1468,Intel Celeron 847E @ 1.10GHz,Intel(R) Celeron(R) CPU 847E @ 1.10GHz,FCBGA1023,1.1 GHz,,2,2,17 W,"L1: 256 KB, L2: 1.0 MB, L3: 2 MB",,Intel(R) Celeron(R) CPU 847E @ 1.10GHz,Q3 2012,NA,3871,NA,584,520,"2,371 MOps/Sec","1,236 MOps/Sec",5 Million Primes/Sec,"1,522 Thousand Strings/Sec",105.2 MBytes/Sec,"11,289 KBytes/Sec",97 Frames/Sec,345 Million Matrices/Sec,520 MOps/Sec,520.0,345.0,1236.0,Laptop,,,,,,,
1517,AMD Athlon II X3 420e,AMD Athlon(tm) II X3 420e Processor,AM3,2.6 GHz,,3,3,45 W,"L1: 384 KB, L2: 1.5 MB,",,AMD Athlon(tm) II X3 420e Processor,Q2 2011,13.40,2941,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1557,1058,"4,609 MOps/Sec","3,438 MOps/Sec",7 Million Primes/Sec,"3,923 Thousand Strings/Sec",457.4 MBytes/Sec,"33,820 KBytes/Sec",140 Frames/Sec,753 Million Matrices/Sec,"1,058 MOps/Sec",1058.0,753.0,3438.0,Desktop,,,,,,,
1569,AMD Opteron 6272,AMD Opteron(TM) Processor 6272,G34,2.1 GHz,3.0 GHz,16 (in 8 physical modules),,115 W,"L1: 1280 KB, L2: 32.0 MB, L3: 12 MB",,AMD Opteron(TM) Processor 6272,Q4 2011,17.53,1576,From submitted results to PerformanceTest V10 as of 31st of October 2023.,5240,753,"22,567 MOps/Sec","11,282 MOps/Sec",23 Million Primes/Sec,"13,353 Thousand Strings/Sec","1,815 MBytes/Sec","107,129 KBytes/Sec",363 Frames/Sec,"3,201 Million Matrices/Sec",753 MOps/Sec,753.0,3201.0,11282.0,Server,,,,,,,
1575,AMD Phenom II X2 B57,AMD Phenom(tm) II X2 B57 Processor,AMD Phenom(tm) II X2 B57 Processor,3.2 GHz,,2,2,80 W,"L1: 256 KB, L2: 1.0 MB, L3: 6 MB",,AMD Phenom(tm) II X2 B57 Processor,Q2 2010,NA,3313,NA,1099,1231,"1,970 MOps/Sec","2,929 MOps/Sec",3 Million Primes/Sec,"3,154 Thousand Strings/Sec",374.3 MBytes/Sec,"24,480 KBytes/Sec",162 Frames/Sec,337 Million Matrices/Sec,"1,231 MOps/Sec",1231.0,337.0,2929.0,AMD Phenom(tm) II X2 B57 Processor,,,,,,,
1597,AMD Turion II Ultra Dual-Core Mobile M660,AMD Turion(tm) II Ultra Dual-Core Mobile M660,S1,2.7 GHz,,2,2,35 W,"L1: 256 KB, L2: 2.0 MB,",,AMD Turion(tm) II Ultra Dual-Core Mobile M660,Q1 2010,NA,3401,NA,1011,1103,"3,330 MOps/Sec","2,478 MOps/Sec",5 Million Primes/Sec,"3,143 Thousand Strings/Sec",247.2 MBytes/Sec,"24,338 KBytes/Sec",102 Frames/Sec,536 Million Matrices/Sec,"1,103 MOps/Sec",1103.0,536.0,2478.0,Laptop,,,,,,,
1664,Intel Core i7-995X @ 3.60GHz,"Intel(R) Core(TM) i7 CPU X 995 @ 3.60GHz, Intel Core i7 CPU       X 995  @ 3.60GHz","Intel(R) Core(TM) i7 CPU X 995 @ 3.60GHz, Intel Core i7 CPU       X 995  @ 3.60GHz",3.6 GHz,4.3 GHz,6,12,,"L1: 512 KB, L2: 2.0 MB, L3: 12 MB",,"Intel(R) Core(TM) i7 CPU X 995 @ 3.60GHz, Intel Core i7 CPU       X 995  @ 3.60GHz",Q3 2010,NA,1128,NA,7862,1718,"32,584 MOps/Sec","14,197 MOps/Sec",35 Million Primes/Sec,"19,000 Thousand Strings/Sec","3,430 MBytes/Sec","131,364 KBytes/Sec",520 Frames/Sec,"3,731 Million Matrices/Sec","1,718 MOps/Sec",1718.0,3731.0,14197.0,Desktop,,,,,,,
1588,AMD Sempron 200U,AMD Sempron(tm) Processor 200U,AMD Sempron(tm) Processor 200U,1.0 GHz,,1,1,8 W,,,AMD Sempron(tm) Processor 200U,Q2 2011,1.43,4443,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",125,311,303 MOps/Sec,385 MOps/Sec,NA,409 Thousand Strings/Sec,56.0 MBytes/Sec,"3,331 KBytes/Sec",18 Frames/Sec,35 Million Matrices/Sec,311 MOps/Sec,311.0,35.0,385.0,AMD Sempron(tm) Processor 200U,,,,,,,
1708,Intel Xeon X3480 @ 3.07GHz,"Intel(R) Xeon(R) CPU X3480 @ 3.07GHz, Intel(R) Xeon(R) CPU           X3480  @ 3.07GHz",LGA1156,3.1 GHz,3.7 GHz,4,8,95 W,"L1: 256 KB, L2: 1.0 MB,",,"Intel(R) Xeon(R) CPU X3480 @ 3.07GHz, Intel(R) Xeon(R) CPU           X3480  @ 3.07GHz",Q1 2012,NA,2056,NA,3255,1406,"17,637 MOps/Sec","7,612 MOps/Sec",22 Million Primes/Sec,"9,724 Thousand Strings/Sec",607.0 MBytes/Sec,"70,565 KBytes/Sec",363 Frames/Sec,"1,953 Million Matrices/Sec","1,406 MOps/Sec",1406.0,1953.0,7612.0,Server,,,,,,,
1706,Intel Xeon L5410 @ 2.33GHz,"Intel(R) Xeon(R) CPU L5410 @ 2.33GHz, Intel(R) Xeon(R) CPU           L5410  @ 2.33GHz",LGA771,2.3 GHz,,4,4,50 W,"L1: 256 KB, L2: 12.0 MB, L3: 0 MB",,"Intel(R) Xeon(R) CPU L5410 @ 2.33GHz, Intel(R) Xeon(R) CPU           L5410  @ 2.33GHz",Q1 2009,19.19,2703,From submitted results to PerformanceTest V10 as of 31st of October 2023.,1921,1029,"8,778 MOps/Sec","5,016 MOps/Sec",16 Million Primes/Sec,"5,438 Thousand Strings/Sec",459.2 MBytes/Sec,"41,136 KBytes/Sec",225 Frames/Sec,702 Million Matrices/Sec,"1,029 MOps/Sec",1029.0,702.0,5016.0,Server,,,,,,,
1666,Intel Core i7-3612QE @ 2.10GHz,Intel(R) Core(TM) i7-3612QE CPU @ 2.10GHz,BGA1224,2.1 GHz,3.1 GHz,4,8,35 W,"L1: 256 KB, L2: 1.0 MB, L3: 6 MB",,Intel(R) Core(TM) i7-3612QE CPU @ 2.10GHz,Q4 2012,NA,1625,NA,4929,1678,"17,990 MOps/Sec","9,094 MOps/Sec",24 Million Primes/Sec,"11,103 Thousand Strings/Sec","1,484 MBytes/Sec","82,462 KBytes/Sec",347 Frames/Sec,"3,491 Million Matrices/Sec","1,678 MOps/Sec",1678.0,3491.0,9094.0,Laptop,,,,,,,
1703,Intel Xeon 3075 @ 2.66GHz,Intel(R) Xeon(R) CPU 3075 @ 2.66GHz,Intel(R) Xeon(R) CPU 3075 @ 2.66GHz,2.7 GHz,,2,2,,"L1: 128 KB, L2: 4.0 MB, L3: 0 MB",,Intel(R) Xeon(R) CPU 3075 @ 2.66GHz,Q1 2011,3.13,3315,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",1096,1096,"4,661 MOps/Sec","2,283 MOps/Sec",7 Million Primes/Sec,"3,231 Thousand Strings/Sec",261.5 MBytes/Sec,"20,706 KBytes/Sec",121 Frames/Sec,422 Million Matrices/Sec,"1,096 MOps/Sec",1096.0,422.0,2283.0,Server,,,,,,,
1678,Intel Core2 Duo E4300 @ 1.80GHz,"Intel(R) Core(TM)2 CPU 4300 @ 1.80GHz, Intel(R) Core(TM)2 Duo CPU E4300 @ 1.80GHz",LGA775,1.8 GHz,,2,2,65 W,"L1: 128 KB, L2: 2.0 MB, L3: 0 MB",,"Intel(R) Core(TM)2 CPU 4300 @ 1.80GHz, Intel(R) Core(TM)2 Duo CPU E4300 @ 1.80GHz",Q4 2009,13.95,3859,"2Single thread rating may be higher than the overall rating, thread performance is just one component of the CPU Mark.",593,662,"2,079 MOps/Sec","1,393 MOps/Sec",3 Million Primes/Sec,"1,854 Thousand Strings/Sec",173.3 MBytes/Sec,"13,527 KBytes/Sec",71 Frames/Sec,221 Million Matrices/Sec,662 MOps/Sec,662.0,221.0,1393.0,Desktop,,,,,,,
1705,Intel Xeon E5472 @ 3.00GHz,Intel(R) Xeon(R) CPU E5472 @ 3.00GHz,LGA771,3.0 GHz,,4,4,80 W,"L1: 256 KB, L2: 12.0 MB, L3: 0 MB",,Intel(R) Xeon(R) CPU E5472 @ 3.00GHz,Q1 2009,114.06,2500,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2286,1211,"10,082 MOps/Sec","6,300 MOps/Sec",17 Million Primes/Sec,"6,644 Thousand Strings/Sec",606.8 MBytes/Sec,"49,615 KBytes/Sec",241 Frames/Sec,792 Million Matrices/Sec,"1,211 MOps/Sec",1211.0,792.0,6300.0,Server,,,,,,,
1794,Intel Core i5-3330S @ 2.70GHz,"Intel(R) Core(TM) i5-3330S CPU @ 2.70GHz, Intel Core i5-3330S CPU @ 2.70GHz",LGA1155,2.7 GHz,3.2 GHz,4,4,65 W,"L1: 256 KB, L2: 1.0 MB,",,"Intel(R) Core(TM) i5-3330S CPU @ 2.70GHz, Intel Core i5-3330S CPU @ 2.70GHz",Q1 2012,19.32,1852,From submitted results to PerformanceTest V10 as of 31st of October 2023.,3863,1707,"12,090 MOps/Sec","8,719 MOps/Sec",26 Million Primes/Sec,"7,475 Thousand Strings/Sec",962.3 MBytes/Sec,"61,037 KBytes/Sec",379 Frames/Sec,"2,891 Million Matrices/Sec","1,707 MOps/Sec",1707.0,2891.0,8719.0,Desktop,,,,,,,
1777,AMD E-350 APU,AMD E-350 APU with Radeon(tm) HD Graphics,FT1 BGA,1.6 GHz,,2,2,18 W,"L1: 128 KB, L2: 1.0 MB,",,AMD E-350 APU with Radeon(tm) HD Graphics,Q4 2012,NA,4038,NA,423,490,"1,589 MOps/Sec","1,084 MOps/Sec",2 Million Primes/Sec,"1,472 Thousand Strings/Sec",114.9 MBytes/Sec,"10,227 KBytes/Sec",47 Frames/Sec,149 Million Matrices/Sec,490 MOps/Sec,490.0,149.0,1084.0,"Desktop, Laptop",,,,,,,
