No.,cpuname,Description:,Socket:,Clockspeed:,Turbo Speed:,Cores:,Threads:,Typical TDP:,Cache Size:,Memory Support:,Other names:,CPU First Seen on Charts:,CPUmark/$Price:,Overall Rank:,Last Price Change:,PassMark CPU Rating:,Single Thread Rating:,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread,single_thread,multi_thread,FLOPS,Class:,TDP Down:,TDP Up,Total Cores:,Primary Cores:,Secondary Cores:,Performance Cores:,Efficient Cores:
3494,AMD Ryzen 5 3600X,AMD Ryzen 5 3600X 6-Core Processor,AM4,3.8 GHz,4.4 GHz,6,12,95 W,"L1: 384 KB, L2: 3.0 MB, L3: 32 MB",,AMD Ryzen 5 3600X 6-Core Processor,Q3 2019,140.41,555,From submitted results to PerformanceTest V10 as of 31st of October 2023.,18237,2657,"50,216 MOps/Sec","29,429 MOps/Sec",110 Million Primes/Sec,"24,597 Thousand Strings/Sec","14,323 MBytes/Sec","224,704 KBytes/Sec","1,194 Frames/Sec","14,807 Million Matrices/Sec","2,657 MOps/Sec",2657.0,14807.0,29429.0,Desktop,,,,,,,
3405,Intel Core i9-9960X @ 3.10GHz,Intel(R) Core(TM) i9-9960X CPU @ 3.10GHz,FCLGA2066,3.1 GHz,4.4 GHz,16,32,165 W,"L1: 512 KB, L2: 8.0 MB, L3: 22 MB",,Intel(R) Core(TM) i9-9960X CPU @ 3.10GHz,Q1 2019,21.87,221,From submitted results to PerformanceTest V10 as of 31st of October 2023.,30578,2621,"117,620 MOps/Sec","73,290 MOps/Sec",113 Million Primes/Sec,"65,169 Thousand Strings/Sec","11,383 MBytes/Sec","514,769 KBytes/Sec","1,546 Frames/Sec","40,070 Million Matrices/Sec","2,621 MOps/Sec",2621.0,40070.0,73290.0,Desktop,,,,,,,
3456,Intel Core i9-9880H @ 2.30GHz,Intel UHD Graphics 630,FCBGA1440,2.3 GHz,4.8 GHz,8,16,45 W,"L1: 128 KB, L2: 0.5 MB, L3: 16 MB","Max. Memory Size: 128 GB (DDR4-2666, LPDDR3-2133)","Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz, Intel Core i9-9880H CPU @ 2.30GHz",Q2 2019,24.93,747,From submitted results to PerformanceTest V10 as of 31st of October 2023.,13861,2539,"53,805 MOps/Sec","30,972 MOps/Sec",37 Million Primes/Sec,"26,300 Thousand Strings/Sec","5,373 MBytes/Sec","208,424 KBytes/Sec",769 Frames/Sec,"10,823 Million Matrices/Sec","2,539 MOps/Sec",2539.0,10823.0,30972.0,Laptop,35 W,,,,,,
3523,Intel Xeon E-2246G @ 3.60GHz,Intel UHD Graphics P630,FCLGA1151-2,3.6 GHz,4.8 GHz,6,12,80 W,"L1: 256 KB, L2: 1.0 MB, L3: 12 MB","Max. Memory Size: 128 GB (DDR4-2666, ECC Supported)",Intel(R) Xeon(R) E-2246G CPU @ 3.60GHz,Q3 2019,44.53,749,From submitted results to PerformanceTest V10 as of 31st of October 2023.,13850,2803,"48,153 MOps/Sec","30,065 MOps/Sec",37 Million Primes/Sec,"27,140 Thousand Strings/Sec","4,974 MBytes/Sec","203,109 KBytes/Sec",767 Frames/Sec,"13,254 Million Matrices/Sec","2,803 MOps/Sec",2803.0,13254.0,30065.0,Server,,,,,,,
3530,Intel Xeon D-2146NT @ 2.30GHz,Intel(R) Xeon(R) D-2146NT CPU @ 2.30GHz,FCBGA2518,2.3 GHz,3.0 GHz,8,16,80 W,"L1: 256 KB, L2: 4.0 MB, L3: 11 MB","Max. Memory Size: 512 GB (DDR4, ECC Supported)",Intel(R) Xeon(R) D-2146NT CPU @ 2.30GHz,Q3 2019,18.31,850,From submitted results to PerformanceTest V10 as of 31st of October 2023.,11736,1802,"36,149 MOps/Sec","22,650 MOps/Sec",45 Million Primes/Sec,"20,874 Thousand Strings/Sec","5,060 MBytes/Sec","163,325 KBytes/Sec",728 Frames/Sec,"11,329 Million Matrices/Sec","1,802 MOps/Sec",1802.0,11329.0,22650.0,Server,,,,,,,
3536,Intel Xeon Gold 5218 @ 2.30GHz,"Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz, Intel Xeon Gold 5218 CPU @ 2.30GHz",FCLGA3647,2.3 GHz,3.9 GHz,16,32,125 W,"L1: 512 KB, L2: 8.0 MB, L3: 22 MB",,"Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz, Intel Xeon Gold 5218 CPU @ 2.30GHz",Q3 2019,22.67,411,From submitted results to PerformanceTest V10 as of 31st of October 2023.,22147,2265,"81,781 MOps/Sec","47,890 MOps/Sec",86 Million Primes/Sec,"41,550 Thousand Strings/Sec","9,812 MBytes/Sec","365,862 KBytes/Sec","1,163 Frames/Sec","21,614 Million Matrices/Sec","2,265 MOps/Sec",2265.0,21614.0,47890.0,Server,,,,,,,
3241,Intel Core i5-8600T @ 2.30GHz,Intel UHD Graphics 630,FCLGA1151-2,2.3 GHz,3.7 GHz,6,6,35 W,"L1: 256 KB, L2: 1.0 MB, L3: 9 MB",Max. Memory Size: 128 GB (DDR4-2666),"Intel(R) Core(TM) i5-8600T CPU @ 2.30GHz, Intel Core i5-8600T CPU @ 2.30GHz",Q2 2018,46.51,1002,From submitted results to PerformanceTest V10 as of 31st of October 2023.,9301,2272,"24,930 MOps/Sec","21,535 MOps/Sec",46 Million Primes/Sec,"16,863 Thousand Strings/Sec","3,159 MBytes/Sec","124,349 KBytes/Sec",821 Frames/Sec,"7,466 Million Matrices/Sec","2,272 MOps/Sec",2272.0,7466.0,21535.0,Desktop,25 W,,,,,,
3521,Intel Xeon Gold 6246 @ 3.30GHz,Intel(R) Xeon(R) Gold 6246 CPU @ 3.30GHz,FCLGA3647,3.3 GHz,4.2 GHz,12,24,165 W,"L1: 1024 KB, L2: 16.0 MB, L3: 25 MB",,Intel(R) Xeon(R) Gold 6246 CPU @ 3.30GHz,Q3 2019,7.98,333,From submitted results to PerformanceTest V10 as of 31st of October 2023.,24829,2468,"89,152 MOps/Sec","55,059 MOps/Sec",112 Million Primes/Sec,"45,993 Thousand Strings/Sec","9,197 MBytes/Sec","365,611 KBytes/Sec","1,821 Frames/Sec","28,485 Million Matrices/Sec","2,468 MOps/Sec",2468.0,28485.0,55059.0,Server,,,,,,,
3535,Intel Xeon Silver 4214 @ 2.20GHz,"Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz, Intel Xeon Silver 4214 CPU @ 2.20GHz",FCLGA3647,2.2 GHz,3.2 GHz,12,24,85 W,"L1: 512 KB, L2: 8.0 MB, L3: 17 MB",,"Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz, Intel Xeon Silver 4214 CPU @ 2.20GHz",Q3 2019,40.54,639,From submitted results to PerformanceTest V10 as of 31st of October 2023.,16190,1733,"57,115 MOps/Sec","35,753 MOps/Sec",68 Million Primes/Sec,"31,852 Thousand Strings/Sec","5,846 MBytes/Sec","253,427 KBytes/Sec","1,054 Frames/Sec","15,875 Million Matrices/Sec","1,733 MOps/Sec",1733.0,15875.0,35753.0,Server,,,,,,,
3540,Intel Xeon Gold 6210U @ 2.50GHz,Intel(R) Xeon(R) Gold 6210U CPU @ 2.50GHz,FCLGA3647,2.5 GHz,3.9 GHz,20,40,150 W,"L1: 1024 KB, L2: 16.0 MB, L3: 28 MB",,Intel(R) Xeon(R) Gold 6210U CPU @ 2.50GHz,Q3 2019,12.34,247,From submitted results to PerformanceTest V10 as of 31st of October 2023.,28915,2203,"112,289 MOps/Sec","70,818 MOps/Sec",144 Million Primes/Sec,"64,581 Thousand Strings/Sec","11,876 MBytes/Sec","482,063 KBytes/Sec","2,550 Frames/Sec","37,524 Million Matrices/Sec","2,203 MOps/Sec",2203.0,37524.0,70818.0,Server,,,,,,,
3528,Intel Core i3-6102E @ 1.90GHz,Intel HD Graphics 530,FCBGA1440,1.9 GHz,,2,4,25 W,"L1: 256 KB, L2: 1.0 MB, L3: 3 MB","Max. Memory Size: 64 GB (DDR4-2133, LPDDR3-1866, DDR3L-1600, ECC Supported)",Intel(R) Core(TM) i3-6102E CPU @ 1.90GHz,Q3 2019,10.44,2455,From submitted results to PerformanceTest V10 as of 31st of October 2023.,2349,1068,"6,821 MOps/Sec","4,277 MOps/Sec",10 Million Primes/Sec,"3,994 Thousand Strings/Sec",722.3 MBytes/Sec,"30,801 KBytes/Sec",225 Frames/Sec,"2,043 Million Matrices/Sec","1,068 MOps/Sec",1068.0,2043.0,4277.0,Laptop,,,,,,,
3532,Intel Xeon Gold 6252 @ 2.10GHz,"Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz, Intel Xeon Gold 6252 CPU @ 2.10GHz",FCLGA3647,2.1 GHz,3.7 GHz,24,48,150 W,"L1: 1024 KB, L2: 16.0 MB, L3: 32 MB",,"Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz, Intel Xeon Gold 6252 CPU @ 2.10GHz",Q3 2019,15.21,285,From submitted results to PerformanceTest V10 as of 31st of October 2023.,27148,1883,"105,415 MOps/Sec","63,219 MOps/Sec",109 Million Primes/Sec,"61,942 Thousand Strings/Sec","11,246 MBytes/Sec","488,941 KBytes/Sec","1,725 Frames/Sec","33,427 Million Matrices/Sec","1,883 MOps/Sec",1883.0,33427.0,63219.0,Server,,,,,,,
3548,AMD Ryzen 7 2700E,AMD Ryzen 7 2700E Eight-Core Processor,AM4,2.8 GHz,4.0 GHz,8,16,45 W,"L1: 768 KB, L2: 4.0 MB, L3: 16 MB",,AMD Ryzen 7 2700E Eight-Core Processor,Q3 2019,NA,704,NA,14657,2410,"48,975 MOps/Sec","25,066 MOps/Sec",43 Million Primes/Sec,"24,304 Thousand Strings/Sec","14,060 MBytes/Sec","206,363 KBytes/Sec",873 Frames/Sec,"7,724 Million Matrices/Sec","2,410 MOps/Sec",2410.0,7724.0,25066.0,Desktop,,,,,,,
