cpu_No,gpu_No,single_thread,multi_thread,FLOPS,single_thread/price,multi_thread/price,FLOPS/price,price,store
793,0,1581.0,3030.0,6978.0,3.711267605633803,7.112676056338028,16.380281690140844,426.0,铎铎电脑2
4748,0,937.0,955.0,4051.0,3.197952218430034,3.25938566552901,13.8259385665529,293.0,铎铎电脑2
2372,0,1563.0,636.0,2596.0,5.965648854961832,2.427480916030534,9.908396946564885,262.0,铎铎电脑2
1221,0,1562.0,7077.0,13909.0,2.2736535662299855,10.301310043668122,20.24599708879185,687.0,新宇
2042,0,1686.0,7348.0,19111.0,3.07103825136612,13.384335154826958,34.810564663023676,549.0,新宇
2042,0,1686.0,7348.0,19111.0,3.07103825136612,13.384335154826958,34.810564663023676,549.0,深强
2184,0,1529.0,8068.0,20790.0,2.2223837209302326,11.726744186046512,30.218023255813954,688.0,深强
2643,0,1652.0,15964.0,29779.0,1.943529411764706,18.781176470588235,35.03411764705882,850.0,念虎数码
2908,0,1717.0,19159.0,45897.0,1.1385941644562334,12.704907161803714,30.435676392572944,1508.0,念虎数码
2184,0,1529.0,8068.0,20790.0,1.9256926952141058,10.161209068010075,26.183879093198993,794.0,念虎数码
2184,0,1529.0,8068.0,20790.0,2.2855007473841553,12.059790732436472,31.076233183856502,669.0,茄玩电脑官方
2643,0,1652.0,15964.0,29779.0,2.0806045340050376,20.105793450881613,37.505037783375315,794.0,茄玩电脑官方
2908,0,1717.0,19159.0,45897.0,1.1515761234071094,12.849765258215962,30.782696177062373,1491.0,茄玩电脑官方
2039,0,1698.0,11210.0,29257.0,1.9100112485939258,12.609673790776153,32.910011248593925,889.0,茄玩电脑官方
2606,0,1738.0,15237.0,30198.0,1.595959595959596,13.991735537190083,27.730027548209367,1089.0,茄玩电脑官方1
2908,0,1717.0,19159.0,45897.0,1.1531229012760242,12.867024848891873,30.824042981867024,1489.0,茄玩电脑官方1
